"Date,""Game"",""Earnings"",""Players"",""Tournaments"""
"2016-03-01,""Guilty Gear Xrd -SIGN-"",1995,9,3"
"2016-03-01,""Tekken Tag Tournament 2"",1620,4,1"
"2016-03-01,""Brawlhalla"",1360,16,4"
"2016-03-01,""Nitroplus Blasterz: Heroines Infinite Duel"",1120,3,1"
"2016-03-01,""Age of Mythology"",1062,4,1"
"2016-03-01,""Xonotic"",943.24,12,1"
"2016-03-01,""Killer Instinct (2013)"",860,6,2"
"2016-03-01,""Dead or Alive 5: Last Round"",640,3,1"
"2016-03-01,""Age of Empires II"",620,6,2"
"2016-03-01,""Super Smash Bros. Brawl"",534.07,7,2"
"2016-03-01,""Project Cars"",391.5,6,7"
"2016-03-01,""Under Night In-Birth EXE: Late"",330,6,2"
"2016-03-01,""Tekken 7"",320,3,1"
"2016-03-01,""Pokkén Tournament"",230,3,1"
"2016-03-01,""Quake Live"",180.64,4,4"
"2016-03-01,""Unreal Tournament (2016)"",146.42,3,1"
"2016-03-01,""Age of Empires III"",120,4,1"
"2016-03-01,""Marvel vs. Capcom 2"",100,3,1"
"2016-03-01,""Super Street Fighter II Turbo"",95,3,1"
"2016-03-01,""Super Smash Bros."",60,11,2"
"2016-04-01,""Counter-Strike: Global Offensive"",1759135.49,1020,70"
"2016-04-01,""League of Legends"",1459231.04,561,24"
"2016-04-01,""Heroes of the Storm"",611038,105,6"
"2016-04-01,""Dota 2"",450127.1,168,14"
"2016-04-01,""Call of Duty Online"",324303,0,1"
"2016-04-01,""Call of Duty: Black Ops III"",309329.68,80,6"
"2016-04-01,""World of Tanks"",3e+05,56,1"
"2016-04-01,""CrossFire"",255156,53,1"
"2016-04-01,""StarCraft II"",204212.08,155,64"
"2016-04-01,""Super Smash Bros. Melee"",75480.2,168,56"
"2016-04-01,""Gears of War: Ultimate Edition"",60000,24,1"
"2016-04-01,""Hearthstone"",32398.58,56,8"
"2016-04-01,""Super Smash Bros. for Wii U"",25551.05,130,27"
"2016-04-01,""Team Fortress 2"",16262.26,29,3"
"2016-04-01,""StarCraft: Brood War"",15020,10,2"
"2016-04-01,""Clash Royale"",15000,2,1"
"2016-04-01,""Rainbow Six Siege"",10886.5,5,2"
"2016-04-01,""Overwatch"",9705.99,53,12"
"2016-04-01,""Rocket League"",9052.46,76,30"
"2016-04-01,""Street Fighter V"",8695,25,10"
"2016-04-01,""Heroes of Newerth"",8188.76,15,4"
"2016-04-01,""WarCraft III"",8147.38,18,10"
"2016-04-01,""SMITE"",7796.95,30,3"
"2016-04-01,""Age of Empires II"",7555.11,38,5"
"2016-04-01,""Point Blank"",7108.33,17,1"
"2016-04-01,""Attack on Titan Tribute Game"",5000,4,1"
"2016-04-01,""osu!"",3080,17,1"
"2016-04-01,""Tekken 7"",3000,8,1"
"2016-04-01,""World of WarCraft"",3000,6,1"
"2016-04-01,""Age of Empires"",2684,24,3"
"2016-04-01,""Super Smash Bros."",2594.3,16,5"
"2016-04-01,""iRacing.com"",1853.68,111,3"
"2016-04-01,""Brawlhalla"",1111.32,7,6"
"2016-04-01,""Naruto Shippuden: Ultimate Ninja Storm 4"",1000,0,1"
"2016-04-01,""Ultimate Marvel vs. Capcom 3"",790,9,4"
"2016-04-01,""TrackMania 2: Stadium"",739.08,7,2"
"2016-04-01,""Mortal Kombat X"",659.29,6,3"
"2016-04-01,""Trackmania Turbo"",566.91,3,1"
"2016-04-01,""Ultra Street Fighter IV"",420,3,1"
"2016-04-01,""FIFA 16"",398.83,3,1"
"2016-04-01,""Project Cars"",336,4,6"
"2016-04-01,""Rivals of Aether"",250,1,1"
"2016-04-01,""Age of Mythology"",241.96,4,4"
"2016-04-01,""Guilty Gear Xrd -REVELATOR-"",220,3,1"
"2016-04-01,""Marvel vs. Capcom 3"",199.29,0,1"
"2016-04-01,""Quake Live"",135.48,4,3"
"2016-04-01,""Pokkén Tournament"",80,3,1"
"2016-04-01,""Killer Instinct (2013)"",50,3,1"
"2016-05-01,""Counter-Strike: Global Offensive"",1628344.95,883,71"
"2016-05-01,""Dota 2"",1054186.63,215,10"
"2016-05-01,""League of Legends"",517405.11,145,11"
"2016-05-01,""StarCraft II"",485482.71,146,59"
"2016-05-01,""Heroes of the Storm"",406226.8,163,9"
"2016-05-01,""Hearthstone"",241970.21,132,19"
"2016-05-01,""Magic: The Gathering Online"",104000,13,1"
"2016-05-01,""Guild Wars 2"",1e+05,98,2"
"2016-05-01,""Call of Duty: Black Ops III"",67971.6,92,4"
"2016-05-01,""Rainbow Six Siege"",55953.23,40,5"
"2016-05-01,""Super Smash Bros. for Wii U"",53229.07,145,29"
"2016-05-01,""Street Fighter V"",52299.28,47,11"
"2016-05-01,""Super Smash Bros. Melee"",49424.7,170,64"
"2016-05-01,""Point Blank"",48000,30,1"
"2016-05-01,""WarCraft III"",41157.56,33,9"
"2016-05-01,""FIFA 16"",35904.69,16,4"
"2016-05-01,""FIFA Online 3"",34082.4,12,1"
"2016-05-01,""Age of Empires"",32409,43,8"
"2016-05-01,""Overwatch"",26397.62,96,11"
"2016-05-01,""Pro Evolution Soccer 2016"",25995.57,3,1"
"2016-05-01,""Rocket League"",18665.7,90,33"
"2016-05-01,""SMITE"",14040,31,2"
"2016-05-01,""Mortal Kombat X"",12935.7,17,4"
"2016-05-01,""Heroes of Newerth"",8489.85,35,2"
"2016-05-01,""Halo 5: Guardians"",7971.6,12,1"
"2016-05-01,""Tekken 7"",5643.68,14,3"
"2016-05-01,""Skullgirls Encore"",4530,10,2"
"2016-05-01,""Team Fortress 2"",4061.18,24,4"
"2016-05-01,""Chess.com"",3599.95,20,2"
"2016-05-01,""Brawlhalla"",3260,63,5"
"2016-05-01,""Guilty Gear Xrd -REVELATOR-"",2599.3,19,4"
"2016-05-01,""Ultra Street Fighter IV"",1546.61,18,4"
"2016-05-01,""Killer Instinct (2013)"",1530,10,2"
"2016-05-01,""Project M"",1470.91,22,4"
"2016-05-01,""Ultimate Marvel vs. Capcom 3"",1307.66,18,4"
"2016-05-01,""Dead or Alive 5: Last Round"",1034.58,10,3"
"2016-05-01,""StarCraft: Brood War"",947,4,2"
"2016-05-01,""BlazBlue: Chronophantasma Extend"",724.56,9,3"
"2016-05-01,""Super Smash Bros."",633.02,8,1"
"2016-05-01,""Age of Empires II"",630,9,3"
"2016-05-01,""King of Fighters XIII"",584.57,7,2"
"2016-05-01,""Super Smash Bros. Brawl"",480.47,8,1"
"2016-05-01,""Vampire Savior"",460,3,1"
"2016-05-01,""Super Street Fighter II Turbo"",439.02,7,2"
"2016-05-01,""Under Night In-Birth EXE: Late"",400,6,2"
"2016-05-01,""King of Fighters 2002 Unlimited Match"",380,3,1"
"2016-05-01,""Persona 4 Arena Ultimax"",290,6,2"
"2016-05-01,""Virtua Fighter 5 Final Showdown"",268.54,7,2"
"2016-05-01,""Xonotic"",250.05,26,1"
"2016-05-01,""Quake Live"",225.8,4,5"
"2016-05-01,""Bloodline Champions"",167.53,6,2"
"2016-05-01,""Pokkén Tournament"",160.17,4,1"
"2016-05-01,""Age of Empires III"",150,1,1"
"2016-05-01,""Dengeki Bunko: Fighting Climax Ignition"",142.3,3,1"
"2016-05-01,""Tekken Tag Tournament 2"",0,3,1"
"2016-06-01,""Dota 2"",3319441.92,140,5"
"2016-06-01,""Counter-Strike: Global Offensive"",1153379.58,768,58"
"2016-06-01,""Heroes of the Storm"",772400,119,3"
"2016-06-01,""Hearthstone"",306510.07,67,13"
"2016-06-01,""FIFA Online 3"",301000,31,1"
"2016-06-01,""SMITE"",3e+05,114,3"
"2016-06-01,""Mortal Kombat X"",2e+05,8,1"
"2016-06-01,""Heroes of Newerth"",141723.36,40,1"
"2016-06-01,""Vainglory"",131040,90,3"
"2016-06-01,""Call of Duty: Black Ops III"",116026,97,3"
"2016-06-01,""StarCraft II"",103387.84,132,66"
"2016-06-01,""Guild Wars 2"",1e+05,24,1"
"2016-06-01,""Paladins"",1e+05,20,1"
"2016-06-01,""Attack on Titan Tribute Game"",75000,14,4"
"2016-06-01,""Overwatch"",60633.61,98,26"
"2016-06-01,""Super Smash Bros. Melee"",52062.67,159,55"
"2016-06-01,""Madden NFL 16"",50000,8,1"
"2016-06-01,""Super Smash Bros. for Wii U"",43280.2,101,23"
"2016-06-01,""WarCraft III"",39508.22,33,9"
"2016-06-01,""Street Fighter V"",38370,11,2"
"2016-06-01,""League of Legends"",32467.96,101,7"
"2016-06-01,""Mortal Kombat XL"",31297.16,13,3"
"2016-06-01,""Pokkén Tournament"",17490,16,2"
"2016-06-01,""Old School Runescape"",10000,1,1"
"2016-06-01,""Point Blank"",7373.07,19,2"
"2016-06-01,""Project M"",6895,22,3"
"2016-06-01,""Rocket League"",6300.32,80,30"
"2016-06-01,""Tekken 7"",5560,8,1"
"2016-06-01,""osu!"",3240,18,1"
"2016-06-01,""Team Fortress 2"",3000,24,1"
"2016-06-01,""StarCraft: Brood War"",2393.34,2,1"
"2016-06-01,""TrackMania 2: Stadium"",2360.37,7,2"
"2016-06-01,""Brawlhalla"",2350,26,5"
"2016-06-01,""Chess.com"",2000.02,12,2"
"2016-06-01,""Guilty Gear Xrd -REVELATOR-"",1760,8,1"
"2016-06-01,""Ultimate Marvel vs. Capcom 3"",1660,8,1"
"2016-06-01,""Ultra Street Fighter IV"",1220,8,1"
"2016-06-01,""Killer Instinct (2013)"",1150,8,1"
"2016-06-01,""Age of Empires II"",1075,5,2"
"2016-06-01,""Age of Empires"",817,3,1"
"2016-06-01,""Super Smash Bros."",610,16,4"
"2016-06-01,""Age of Mythology"",298,4,1"
"2016-06-01,""Bloodline Champions"",287.79,6,2"
"2016-06-01,""Unreal Tournament (2016)"",250,8,1"
"2016-06-01,""Pro Evolution Soccer 2016"",232.2,3,1"
"2016-06-01,""Quake Live"",135.48,2,3"
"2016-07-01,""Counter-Strike: Global Offensive"",2955840.82,783,59"
"2016-07-01,""Dota 2"",1309745.81,340,20"
"2016-07-01,""Call of Duty: Black Ops III"",560540,106,7"
"2016-07-01,""Halo 5: Guardians"",293000,49,3"
"2016-07-01,""League of Legends"",250137.61,352,23"
"2016-07-01,""CrossFire"",2e+05,20,1"
"2016-07-01,""StarCraft II"",199202.99,124,49"
"2016-07-01,""Hearthstone"",192870.13,90,11"
"2016-07-01,""Overwatch"",156328.29,326,41"
"2016-07-01,""Heroes of the Storm"",133192,91,3"
"2016-07-01,""Street Fighter V"",116070,13,2"
"2016-07-01,""Clash Royale"",99750.27,4,1"
"2016-07-01,""Arena of Valor"",90024,10,1"
"2016-07-01,""Call of Duty Online"",65788.8,0,1"
"2016-07-01,""Mortal Kombat XL"",57130,8,1"
"2016-07-01,""Super Smash Bros. Melee"",53062.41,159,64"
"2016-07-01,""Gears of War: Ultimate Edition"",50000,32,1"
"2016-07-01,""Super Smash Bros. for Wii U"",44531.11,63,17"
"2016-07-01,""SMITE"",38300,72,4"
"2016-07-01,""WarCraft III"",27695.11,7,6"
"2016-07-01,""Pokkén Tournament"",21800,8,1"
"2016-07-01,""Killer Instinct (2013)"",20460,8,1"
"2016-07-01,""Guilty Gear Xrd -REVELATOR-"",19100,8,1"
"2016-07-01,""Rocket League"",18049.29,91,35"
"2016-07-01,""Rainbow Six Siege"",12500,21,2"
"2016-07-01,""Ultimate Marvel vs. Capcom 3"",7820,8,1"
"2016-07-01,""Tekken 7"",5490,8,1"
"2016-07-01,""Age of Empires II"",4750,27,6"
"2016-07-01,""Brawlhalla"",3899.82,33,10"
"2016-07-01,""Heroes of Newerth"",3585.02,0,1"
"2016-07-01,""Quake Live"",2000,4,1"
"2016-07-01,""Chess.com"",1995,14,2"
"2016-07-01,""FIFA 16"",1155.52,5,2"
"2016-07-01,""Team Fortress 2"",1104,6,1"
"2016-07-01,""Age of Mythology"",1036.42,9,1"
"2016-07-01,""Project M"",897,16,5"
"2016-07-01,""Attack on Titan Tribute Game"",500,3,1"
"2016-07-01,""Street Fighter X Tekken"",300,3,1"
"2016-07-01,""Super Smash Bros."",250,6,1"
"2016-07-01,""Pro Evolution Soccer 2016"",245.86,3,1"
"2016-07-01,""StarCraft: Brood War"",75,4,1"
"2016-07-01,""Super Smash Bros. Brawl"",28.35,3,1"
"2016-08-01,""Dota 2"",20858599.5,160,6"
"2016-08-01,""League of Legends"",1496842.81,518,23"
"2016-08-01,""Counter-Strike: Global Offensive"",508879.35,1101,70"
"2016-08-01,""Heroes of the Storm"",328520,110,3"
"2016-08-01,""StarCraft II"",302356.05,121,53"
"2016-08-01,""Overwatch"",163282.62,221,30"
"2016-08-01,""Hearthstone"",127879.57,64,8"
"2016-08-01,""Call of Duty: Black Ops III"",106940.2,44,3"
"2016-08-01,""WarCraft III"",83274.2,19,7"
"2016-08-01,""Rocket League"",69281.7,83,28"
"2016-08-01,""Super Smash Bros. Melee"",66995.49,194,61"
"2016-08-01,""Rainbow Six Siege"",62500,20,1"
"2016-08-01,""Pokémon VGC"",51500,16,1"
"2016-08-01,""Uncharted 4: A Thief's End"",46235.07,5,1"
"2016-08-01,""SMITE"",43520,60,3"
"2016-08-01,""Super Smash Bros. for Wii U"",40369.25,93,20"
"2016-08-01,""CrossFire"",33446,41,5"
"2016-08-01,""Team Fortress 2"",25165.6,43,2"
"2016-08-01,""Quake Live"",25000,8,1"
"2016-08-01,""QuakeWorld"",25000,16,1"
"2016-08-01,""Heroes of Newerth"",10153.72,18,3"
"2016-08-01,""Super Smash Bros."",8860.68,39,9"
"2016-08-01,""Street Fighter V"",8360,20,5"
"2016-08-01,""Project M"",8060.83,45,8"
"2016-08-01,""Point Blank"",7217.6,18,2"
"2016-08-01,""FIFA 16"",4814.28,8,1"
"2016-08-01,""Tekken 7"",3000,8,1"
"2016-08-01,""Super Smash Bros. Brawl"",2670,14,3"
"2016-08-01,""Chess.com"",2001,11,2"
"2016-08-01,""Brawlhalla"",1982.66,24,8"
"2016-08-01,""TrackMania 2: Stadium"",1703.71,6,4"
"2016-08-01,""Mortal Kombat XL"",1070,3,1"
"2016-08-01,""Naruto Shippuden: Ultimate Ninja Storm 4"",1000,0,1"
"2016-08-01,""Ultimate Marvel vs. Capcom 3"",740,3,1"
"2016-08-01,""Pro Evolution Soccer 2016"",516.31,6,2"
"2016-08-01,""Attack on Titan Tribute Game"",500,3,1"
"2016-08-01,""iRacing.com"",466.2,6,2"
"2016-08-01,""Pokkén Tournament"",355,4,2"
"2016-08-01,""King of Fighters XIV"",330,3,1"
"2016-08-01,""Skullgirls Encore"",240,6,2"
"2016-08-01,""Guilty Gear Xrd -REVELATOR-"",210,3,1"
"2016-08-01,""Age of Empires II"",100,2,1"
"2016-09-01,""Call of Duty: Black Ops III"",2008322.22,139,2"
"2016-09-01,""Counter-Strike: Global Offensive"",1058204.54,761,68"
"2016-09-01,""StarCraft II"",469227.01,125,52"
"2016-09-01,""Overwatch"",379570.85,271,28"
"2016-09-01,""Hearthstone"",260290.8,78,10"
"2016-09-01,""Dota 2"",208035.2,157,9"
"2016-09-01,""World of Tanks"",189000,125,1"
"2016-09-01,""Heroes of the Storm"",135836,70,4"
"2016-09-01,""Point Blank"",114436.29,75,2"
"2016-09-01,""Rocket League"",65252.16,117,41"
"2016-09-01,""Vainglory"",60000,45,2"
"2016-09-01,""Street Fighter V"",37771.42,26,4"
"2016-09-01,""League of Legends"",25015.83,49,7"
"2016-09-01,""Super Smash Bros. Melee"",24532.32,188,81"
"2016-09-01,""StarCraft: Brood War"",21192,16,1"
"2016-09-01,""Super Smash Bros. for Wii U"",20580.68,77,16"
"2016-09-01,""WarCraft III"",15479.81,10,6"
"2016-09-01,""Brawlhalla"",6367.94,37,11"
"2016-09-01,""Heroes of Newerth"",4619.84,10,2"
"2016-09-01,""Chess.com"",2004,16,2"
"2016-09-01,""osu!"",1900,18,1"
"2016-09-01,""Battlerite"",1584.2,5,2"
"2016-09-01,""Attack on Titan Tribute Game"",500,3,1"
"2016-09-01,""Mortal Kombat X"",500,3,1"
"2016-09-01,""Team Fortress 2"",448.63,26,1"
"2016-09-01,""Age of Mythology"",300,1,1"
"2016-09-01,""NHL '94"",256,3,1"
"2016-09-01,""Pro Evolution Soccer 2016"",253.9,3,1"
"2016-09-01,""Age of Empires II"",200,2,1"
"2016-09-01,""Super Smash Bros. Brawl"",160,4,1"
"2016-09-01,""Age of Empires III"",100,2,1"
"2016-09-01,""Xonotic"",89.86,22,1"
"2016-09-01,""TrackMania 2: Stadium"",56,1,1"
"2016-09-01,""Pokkén Tournament"",50,1,1"
"2016-10-01,""League of Legends"",5144753.33,212,13"
"2016-10-01,""Counter-Strike: Global Offensive"",2494378.25,992,92"
"2016-10-01,""Dota 2"",645307.65,231,14"
"2016-10-01,""CrossFire Mobile"",438995.7,51,1"
"2016-10-01,""Overwatch"",371307.85,363,29"
"2016-10-01,""Heroes of the Storm"",267606,125,5"
"2016-10-01,""H1Z1"",267244,18,2"
"2016-10-01,""CrossFire"",210945.47,123,12"
"2016-10-01,""World of WarCraft"",2e+05,62,2"
"2016-10-01,""StarCraft II"",173406.6,107,54"
"2016-10-01,""Hearthstone"",170465.17,63,11"
"2016-10-01,""Street Fighter V"",146793.77,41,6"
"2016-10-01,""World of Tanks"",1e+05,28,1"
"2016-10-01,""Call of Duty: Black Ops III"",60484.9,64,4"
"2016-10-01,""Super Smash Bros. Melee"",59083.27,178,64"
"2016-10-01,""Halo 5: Guardians"",53750,51,6"
"2016-10-01,""iRacing.com"",45000,23,3"
"2016-10-01,""Rainbow Six Siege"",39161.62,51,4"
"2016-10-01,""Chess.com"",35152,16,3"
"2016-10-01,""Rocket League"",34486.03,128,49"
"2016-10-01,""Age of Empires II"",30861,79,4"
"2016-10-01,""Gears of War 4"",28415,40,6"
"2016-10-01,""Super Smash Bros. for Wii U"",26821.27,87,19"
"2016-10-01,""SMITE"",24035.09,40,3"
"2016-10-01,""WarCraft III"",20093.27,25,13"
"2016-10-01,""Age of Empires"",16425,60,4"
"2016-10-01,""FIFA 17"",15000,4,1"
"2016-10-01,""Project Cars"",12400,9,2"
"2016-10-01,""Mortal Kombat XL"",11444.23,11,2"
"2016-10-01,""Clash Royale"",10109.29,6,3"
"2016-10-01,""Old School Runescape"",10000,1,1"
"2016-10-01,""Tekken 7"",8244.56,14,2"
"2016-10-01,""Brawlhalla"",6439,49,9"
"2016-10-01,""Project M"",5790,19,3"
"2016-10-01,""Guilty Gear Xrd -REVELATOR-"",5010.19,23,3"
"2016-10-01,""King of Fighters XIV"",4988.49,18,3"
"2016-10-01,""Heroes of Newerth"",4627.23,10,2"
"2016-10-01,""Paladins"",4000,6,1"
"2016-10-01,""Battlefield 4"",2887.63,20,1"
"2016-10-01,""BlazBlue: Central Fiction"",2836.51,11,2"
"2016-10-01,""Pro Evolution Soccer 2017"",1875.3,8,2"
"2016-10-01,""Age of Mythology"",1708,12,4"
"2016-10-01,""Call of Duty: Modern Warfare 2"",1700,12,1"
"2016-10-01,""Skullgirls 2nd Encore"",1700,8,1"
"2016-10-01,""Tetris"",1500,2,1"
"2016-10-01,""Super Smash Bros."",1320,10,2"
"2016-10-01,""Ultimate Marvel vs. Capcom 3"",1133.4,5,2"
"2016-10-01,""Super Street Fighter II Turbo"",925.7,8,1"
"2016-10-01,""Melty Blood: Actress Again Current Code"",700,8,1"
"2016-10-01,""Under Night In-Birth EXE: Late"",690,8,1"
"2016-10-01,""Unreal Tournament (2016)"",675,7,1"
"2016-10-01,""Killer Instinct (2013)"",599.59,6,2"
"2016-10-01,""Dengeki Bunko: Fighting Climax Ignition"",520,8,1"
"2016-10-01,""Attack on Titan Tribute Game"",500,3,1"
"2016-10-01,""Persona 4 Arena Ultimax"",470,3,1"
"2016-10-01,""Guilty Gear XX Accent Core Plus R"",460,3,1"
"2016-10-01,""Vampire Savior"",458.74,6,2"
"2016-10-01,""Battlerite"",359.36,13,4"
"2016-10-01,""Vainglory"",327.36,9,3"
"2016-10-01,""Catherine"",270,3,1"
"2016-10-01,""Nitroplus Blasterz: Heroines Infinite Duel"",260,3,1"
"2016-10-01,""Koihime Enbu"",250,3,1"
"2016-10-01,""Team Fortress 2"",243.84,18,1"
"2016-10-01,""Pokkén Tournament"",216.49,3,1"
"2016-10-01,""Arcana Heart 3: LOVE MAX!!!!!"",210,3,1"
"2016-10-01,""Age of Empires III"",200,2,1"
"2016-10-01,""Aquapazza: Aquaplus Dream Match"",160,3,1"
"2016-11-01,""Counter-Strike: Global Offensive"",1461466.76,1188,97"
"2016-11-01,""Hearthstone"",1107696.94,63,9"
"2016-11-01,""Heroes of the Storm"",1000400,70,3"
"2016-11-01,""Dota 2"",764842.75,286,17"
"2016-11-01,""League of Legends"",715492.4,381,21"
"2016-11-01,""StarCraft II"",618987.17,112,37"
"2016-11-01,""CrossFire"",449137.3,60,2"
"2016-11-01,""Overwatch"",377891.9,429,29"
"2016-11-01,""Gears of War 4"",317870,70,8"
"2016-11-01,""World of WarCraft"",250000,30,1"
"2016-11-01,""Blade & Soul"",156182.4,27,2"
